MetaData/LevelName: Level 1

LevelManager/MapHeight:					50

Dirt/baseProbability:					1
Dirt/increaseProbabilityPerRow:			0
Dirt/depthRangeStart:					0
Dirt/depthRangeEnd:						999
Dirt/guaranteeAtLeast:					0

Rich Dirt/baseProbability:				0.15
Rich Dirt/increaseProbabilityPerRow:	0.025
Rich Dirt/depthRangeStart:				10
Rich Dirt/depthRangeEnd:				999
Rich Dirt/guaranteeAtLeast:				0

Rift/numStrips:							2
Rift/0-lengthOfWave:					10
Rift/0-actor-0:							bat
Rift/0-quantity-0:						15
Rift/0-actor-1:							hawk
Rift/0-quantity-1:						5
Rift/0-actor-2:							flyingArmadillo
Rift/0-quantity-2:						2
Rift/1-lengthOfWave:					5
Rift/1-actor-0:							bat
Rift/1-quantity-0:						15
Rift/1-actor-1:							hawk
Rift/1-quantity-1:						5
Rift/1-actor-2:							flyingArmadillo
Rift/1-quantity-2:						2

Energy Well/baseProbability:			0.1
Energy Well/increaseProbabilityPerRow:	0.02
Energy Well/depthRangeStart:			25
Energy Well/depthRangeEnd:				35
Energy Well/guaranteeAtLeast:			5

Gold Vein/baseProbability:				0.02
Gold Vein/increaseProbabilityPerRow:	0.00
Gold Vein/depthRangeStart:				6
Gold Vein/depthRangeEnd:				25
Gold Vein/guaranteeAtLeast:				5

Stone/baseProbability:					0.2
Stone/increaseProbabilityPerRow:		0.037
Stone/depthRangeStart:					2
Stone/depthRangeEnd:					999
Stone/guaranteeAtLeast:					0

Dense Stone/baseProbability:			0.05
Dense Stone/increaseProbabilityPerRow:	0.08
Dense Stone/depthRangeStart:			25
Dense Stone/depthRangeEnd:				999
Dense Stone/guaranteeAtLeast:			0

Alien Tech/baseProbability:				0.01
Alien Tech/increaseProbabilityPerRow:	0
Alien Tech/depthRangeStart:				20
Alien Tech/depthRangeEnd:				999
Alien Tech/guaranteeAtLeast:			5
